"Step","gan_sl_seed3 - 2cover_rate_1step"
"12558000","0.52"
"12572000","0.6"
"12586000","0.57"
"12600000","0.61"
"12614000","0.64"
"12628000","0.55"
"12642000","0.59"
"12656000","0.48"
"12670000","0.57"
"12684000","0.62"
"12698000","0.6"
"12712000","0.45"
"12726000","0.6"
"12740000","0.63"
"12754000","0.54"
"12768000","0.56"
"12782000","0.52"
"12796000","0.55"
"12810000","0.64"
"12824000","0.61"
"12838000","0.54"
"12852000","0.54"
"12866000","0.63"
"12880000","0.54"
"12894000","0.55"
"12908000","0.5"
"12922000","0.55"
"12936000","0.6"
"12950000","0.55"
"12964000","0.6"
"12978000","0.59"
"12992000","0.5"
"13006000","0.59"
"13020000","0.59"
"13034000","0.47"
"13048000","0.47"
"13062000","0.53"
"13076000","0.58"
"13090000","0.58"
"13104000","0.56"
"13118000","0.58"
"13132000","0.68"
"13146000","0.61"
"13160000","0.58"
"13174000","0.62"
"13188000","0.65"
"13202000","0.58"
"13216000","0.64"
"13230000","0.62"
"13244000","0.66"
"13258000","0.59"
"13272000","0.7"
"13286000","0.54"
"13300000","0.53"
"13314000","0.66"
"13328000","0.61"
"13342000","0.6"
"13356000","0.62"
"13370000","0.58"
"13384000","0.62"
"13398000","0.64"
"13412000","0.69"
"13426000","0.53"
"13440000","0.59"
"13454000","0.67"
"13468000","0.65"
"13482000","0.56"
"13496000","0.56"
"13510000","0.57"
"13524000","0.56"
"13538000","0.61"
"13552000","0.56"
"13566000","0.51"
"13580000","0.55"
"13594000","0.55"
"13608000","0.44"
"13622000","0.42"
"13636000","0.52"
"13650000","0.59"
"13664000","0.55"
"13678000","0.63"
"13692000","0.55"
"13706000","0.63"
"13720000","0.76"
"13734000","0.58"
"13748000","0.57"
"13762000","0.55"
"13776000","0.54"
"13790000","0.55"
"13804000","0.59"
"13818000","0.52"
"13832000","0.63"
"13846000","0.63"
"13860000","0.65"
"13874000","0.63"
"13888000","0.61"
"13902000","0.68"
"13916000","0.62"
"13930000","0.6"
"13944000","0.59"
"13958000","0.65"
"13972000","0.57"
"13986000","0.6"
"14000000","0.59"
"14014000","0.57"
"14028000","0.63"
"14042000","0.62"
"14056000","0.6"
"14070000","0.64"
"14084000","0.66"
"14098000","0.59"
"14112000","0.65"
"14126000","0.61"
"14140000","0.61"
"14154000","0.6"
"14168000","0.63"
"14182000","0.64"
"14196000","0.67"
"14210000","0.59"
"14224000","0.56"
"14238000","0.54"
"14252000","0.57"
"14266000","0.72"
"14280000","0.57"
"14294000","0.57"
"14308000","0.63"
"14322000","0.63"
"14336000","0.7"
"14350000","0.6"
"14364000","0.64"
"14378000","0.67"
"14392000","0.6"
"14406000","0.63"
"14420000","0.65"
"14434000","0.54"
"14448000","0.68"
"14462000","0.54"
"14476000","0.64"
"14490000","0.62"
"14504000","0.59"
"14518000","0.6"
"14532000","0.55"
"14546000","0.68"
"14560000","0.53"
"14574000","0.65"
"14588000","0.51"
"14602000","0.62"
"14616000","0.53"
"14630000","0.6"
"14644000","0.63"
"14658000","0.62"
"14672000","0.64"
"14686000","0.69"
"14700000","0.64"
"14714000","0.62"
"14728000","0.64"
"14742000","0.59"
"14756000","0.65"
"14770000","0.62"
"14784000","0.59"
"14798000","0.52"
"14812000","0.55"
"14826000","0.49"
"14840000","0.62"
"14854000","0.41"
"14868000","0.62"
"14882000","0.56"
"14896000","0.65"
"14910000","0.59"
"14924000","0.54"
"14938000","0.57"
"14952000","0.73"
"14966000","0.56"
"14980000","0.63"
"14994000","0.62"
"15008000","0.63"
"15022000","0.55"
"15036000","0.57"
"15050000","0.65"
"15064000","0.64"
"15078000","0.65"
"15092000","0.59"
"15106000","0.7"
"15120000","0.74"
"15134000","0.68"
"15148000","0.7"
"15162000","0.63"
"15176000","0.62"
"15190000","0.65"
"15204000","0.71"
"15218000","0.66"
"15232000","0.61"
"15246000","0.63"
"15260000","0.65"
"15274000","0.61"
"15288000","0.58"
"15302000","0.65"
"15316000","0.7"
"15330000","0.71"
"15344000","0.66"
"15358000","0.59"
"15372000","0.65"
"15386000","0.66"
"15400000","0.56"
"15414000","0.56"
"15428000","0.69"
"15442000","0.61"
"15456000","0.62"
"15470000","0.64"
"15484000","0.72"
"15498000","0.65"
"15512000","0.66"
"15526000","0.62"
"15540000","0.67"
"15554000","0.67"
"15568000","0.66"
"15582000","0.72"
"15596000","0.73"
"15610000","0.6"
"15624000","0.64"
"15638000","0.71"
"15652000","0.68"
"15666000","0.68"
"15680000","0.7"
"15694000","0.57"
"15708000","0.64"
"15722000","0.65"
"15736000","0.68"
"15750000","0.63"
"15764000","0.61"
"15778000","0.62"
"15792000","0.61"
"15806000","0.6"
"15820000","0.56"
"15834000","0.64"
"15848000","0.68"
"15862000","0.64"
"15876000","0.61"
"15890000","0.67"
"15904000","0.63"
"15918000","0.56"
"15932000","0.68"
"15946000","0.7"
"15960000","0.66"
"15974000","0.69"
"15988000","0.61"
"16002000","0.6"
"16016000","0.7"
"16030000","0.6"
"16044000","0.74"
"16058000","0.64"
"16072000","0.73"
"16086000","0.63"
"16100000","0.66"
"16114000","0.75"
"16128000","0.71"
"16142000","0.69"
"16156000","0.63"
"16170000","0.64"
"16184000","0.66"
"16198000","0.6"
"16212000","0.68"
"16226000","0.64"
"16240000","0.64"
"16254000","0.68"
"16268000","0.68"
"16282000","0.63"
"16296000","0.57"
"16310000","0.58"
"16324000","0.57"
"16338000","0.71"
"16352000","0.66"
"16366000","0.65"
"16380000","0.69"
"16394000","0.68"
"16408000","0.69"
"16422000","0.71"
"16436000","0.68"
"16450000","0.62"
"16464000","0.61"
"16478000","0.69"
"16492000","0.72"
"16506000","0.73"
"16520000","0.7"
"16534000","0.74"
"16548000","0.63"
"16562000","0.59"
"16576000","0.65"
"16590000","0.63"
"16604000","0.49"
"16618000","0.56"
"16632000","0.58"
"16646000","0.68"
"16660000","0.63"
"16674000","0.65"
"16688000","0.61"
"16702000","0.61"
"16716000","0.71"
"16730000","0.62"
"16744000","0.7"
"16758000","0.68"
"16772000","0.68"
"16786000","0.59"
"16800000","0.68"
"16814000","0.74"
"16828000","0.71"
"16842000","0.7"
"16856000","0.67"
"16870000","0.73"
"16884000","0.76"
"16898000","0.72"
"16912000","0.73"
"16926000","0.68"
"16940000","0.69"
"16954000","0.58"
"16968000","0.69"
"16982000","0.57"
"16996000","0.61"
"17010000","0.71"
"17024000","0.76"
"17038000","0.72"
"17052000","0.65"
"17066000","0.69"
"17080000","0.63"
"17094000","0.73"
"17108000","0.64"
"17122000","0.7"
"17136000","0.71"
"17150000","0.78"
"17164000","0.78"
"17178000","0.74"
"17192000","0.75"
"17206000","0.65"
"17220000","0.74"
"17234000","0.7"
"17248000","0.71"
"17262000","0.71"
"17276000","0.78"
"17290000","0.72"
"17304000","0.62"
"17318000","0.72"
"17332000","0.71"
"17346000","0.67"
"17360000","0.76"
"17374000","0.7"
"17388000","0.67"
"17402000","0.64"
"17416000","0.66"
"17430000","0.67"
"17444000","0.69"
"17458000","0.56"
"17472000","0.58"
"17486000","0.51"
"17500000","0.68"
"17514000","0.66"
"17528000","0.62"
"17542000","0.71"
"17556000","0.72"
"17570000","0.71"
"17584000","0.64"
"17598000","0.64"
"17612000","0.64"
"17626000","0.75"
"17640000","0.67"
"17654000","0.64"
"17668000","0.65"
"17682000","0.63"
"17696000","0.7"
"17710000","0.76"
"17724000","0.59"
"17738000","0.7"
"17752000","0.67"
"17766000","0.58"
"17780000","0.71"
"17794000","0.59"
"17808000","0.67"
"17822000","0.57"
"17836000","0.6"
"17850000","0.76"
"17864000","0.8"
"17878000","0.75"
"17892000","0.63"
"17906000","0.71"
"17920000","0.67"
"17934000","0.69"
"17948000","0.64"
"17962000","0.68"
"17976000","0.81"
"17990000","0.76"
"18004000","0.65"
"18018000","0.76"
"18032000","0.67"
"18046000","0.75"
"18060000","0.72"
"18074000","0.74"
"18088000","0.74"
"18102000","0.71"
"18116000","0.72"
"18130000","0.74"
"18144000","0.7"
"18158000","0.76"
"18172000","0.69"
"18186000","0.68"
"18200000","0.64"
"18214000","0.66"
"18228000","0.61"
"18242000","0.66"
"18256000","0.59"
"18270000","0.73"
"18284000","0.7"
"18298000","0.76"
"18312000","0.69"
"18326000","0.76"
"18340000","0.77"
"18354000","0.71"
"18368000","0.65"
"18382000","0.71"
"18396000","0.69"
"18410000","0.74"
"18424000","0.78"
"18438000","0.76"
"18452000","0.76"
"18466000","0.79"
"18480000","0.67"
"18494000","0.69"
"18508000","0.78"
"18522000","0.79"
"18536000","0.79"
"18550000","0.76"
"18564000","0.82"
"18578000","0.75"
"18592000","0.76"
"18606000","0.75"
"18620000","0.67"
"18634000","0.77"
"18648000","0.76"
"18662000","0.79"
"18676000","0.77"
"18690000","0.72"
"18704000","0.8"
"18718000","0.77"
"18732000","0.81"
"18746000","0.74"
"18760000","0.76"
"18774000","0.78"
"18788000","0.78"
"18802000","0.74"
"18816000","0.75"
"18830000","0.79"
"18844000","0.8"
"18858000","0.71"
"18872000","0.69"
"18886000","0.81"
"18900000","0.73"
"18914000","0.71"
"18928000","0.8"
"18942000","0.75"
"18956000","0.78"
"18970000","0.76"
"18984000","0.77"
"18998000","0.79"
"19012000","0.77"
"19026000","0.72"
"19040000","0.73"
"19054000","0.75"
"19068000","0.81"
"19082000","0.76"
"19096000","0.78"
"19110000","0.85"
"19124000","0.79"
"19138000","0.78"
"19152000","0.74"
"19166000","0.8"
"19180000","0.7"
"19194000","0.76"
"19208000","0.75"
"19222000","0.77"
"19236000","0.65"
"19250000","0.82"
"19264000","0.78"
"19278000","0.74"
"19292000","0.77"
"19306000","0.78"
"19320000","0.74"
"19334000","0.76"
"19348000","0.78"
"19362000","0.74"
"19376000","0.73"
"19390000","0.79"
"19404000","0.8"
"19418000","0.77"
"19432000","0.79"
"19446000","0.66"
"19460000","0.67"
"19474000","0.71"
"19488000","0.79"
"19502000","0.78"
"19516000","0.82"
"19530000","0.81"
"19544000","0.82"
