"Step","diversified_novelty_parentsampling_sp - cover_rate_5step","diversified_novelty_parentsampling_sp_seed2 - cover_rate_5step","diversified_novelty_parentsampling_sp_seed3 - cover_rate_5step"
"24360000","0.8127000000000001","0.9192","0.8787"
"24465000","0.8171","0.9094","0.8730999999999999"
"24570000","0.8441000000000001","0.9087","0.867"
"24675000","0.8405999999999999","0.8984999999999999","0.8734"
"24780000","0.8351","0.9075","0.8717999999999999"
"24885000","0.8467","0.9061","0.876"
"24990000","0.8315","0.9119","0.863"
"25095000","0.8282","0.9108","0.8807999999999999"
"25200000","0.8439000000000001","0.914","0.8836"
"25305000","0.8592000000000001","0.9095","0.8725"
"25410000","0.844","0.9092","0.8697999999999999"
"25515000","0.8432999999999999","0.9075","0.8807999999999999"
"25620000","0.8354","0.9099","0.8733"
"25725000","0.8419","0.9045","0.8665"
"25830000","0.8490999999999999","0.8957999999999999","0.8697999999999999"
"25935000","0.8433999999999999","0.8943000000000001","0.885"
"26040000","0.8705","0.8848","0.8877999999999999"
"26145000","0.8736","0.9017","0.8911"
"26250000","0.8453999999999999","0.8972","0.8754"
"26355000","0.8640999999999999","0.8873","0.8817999999999999"
"26460000","0.8682000000000001","0.8986","0.8837"
"26565000","0.8631","0.898","0.8956"
"26670000","0.8757","0.8903","0.8877"
"26775000","0.872","0.9049","0.8893"
"26880000","0.8647999999999999","0.902","0.8803"
"26985000","0.8742000000000001","0.8862000000000001","0.8872000000000001"
"27090000","0.8559000000000001","0.8967999999999999","0.8806999999999999"
"27195000","0.8598","0.9136","0.8857"
"27300000","0.8733","0.9074","0.889"
"27405000","0.8752000000000001","0.9101","0.8934"
"27510000","0.8715","0.9142","0.8995"
"27615000","0.8772000000000001","0.9231","0.9099"
"27720000","0.8862000000000001","0.9206","0.9103"
"27825000","0.8707","0.9232","0.9108"
"27930000","0.872","0.9278","0.9029"
"28035000","0.8735","0.9007","0.9116"
"28140000","0.8785","0.8969","0.896"
"28245000","0.882","0.8974000000000001","0.9036"
"28350000","0.8940999999999999","0.8963","0.9063"
"28455000","0.8957999999999999","0.9127","0.9049"
"28560000","0.8952","0.9166","0.9041"
"28665000","0.8810999999999999","0.9161","0.9115"
"28770000","0.9059","0.8935","0.9081"
"28875000","0.8932","0.8837999999999999","0.9108"
"28980000","0.8977999999999999","0.873","0.9084"
"29085000","0.9012","0.8706999999999999","0.8993"
"29190000","0.9089","0.9004","0.9211"
