"Step","sp_4agents_seed2 - 4cover_rate"
"33565000","0"
"33600000","0"
"33635000","0"
"33670000","0"
"33705000","0"
"33740000","0"
"33775000","0"
"33810000","0"
"33845000","0"
"33880000","0"
"33915000","0"
"33950000","0"
"33985000","0"
"34020000","0"
"34055000","0"
"34090000","0"
"34125000","0"
"34160000","0"
"34195000","0"
"34230000","0"
"34265000","0"
"34300000","0"
"34335000","0"
"34370000","0"
"34405000","0"
"34440000","0"
"34475000","0"
"34510000","0"
"34545000","0"
"34580000","0"
"34615000","0"
"34650000","0"
"34685000","0"
"34720000","0"
"34755000","0"
"34790000","0"
"34825000","0"
"34860000","0"
"34895000","0"
"34930000","0"
"34965000","0"
"35000000","0"
"35035000","0"
"35070000","0"
"35105000","0"
"35140000","0"
"35175000","0"
"35210000","0"
"35245000","0"
"35280000","0"
"35315000","0"
"35350000","0"
"35385000","0"
"35420000","0"
"35455000","0"
"35490000","0"
"35525000","0"
"35560000","0"
"35595000","0"
"35630000","0"
"35665000","0"
"35700000","0"
"35735000","0"
"35770000","0"
"35805000","0"
"35840000","0"
"35875000","0"
"35910000","0"
"35945000","0"
"35980000","0"
"36015000","0"
"36050000","0"
"36085000","0"
"36120000","0"
"36155000","0"
"36190000","0"
"36225000","0"
"36260000","0"
"36295000","0"
"36330000","0"
"36365000","0"
"36400000","0"
"36435000","0"
"36470000","0"
"36505000","0"
"36540000","0"
"36575000","0"
"36610000","0"
"36645000","0"
"36680000","0"
"36715000","0"
"36750000","0"
"36785000","0"
"36820000","0"
"36855000","0"
"36890000","0"
"36925000","0"
"36960000","0"
"36995000","0"
"37030000","0"
"37065000","0"
"37100000","0"
"37135000","0"
"37170000","0"
"37205000","0"
"37240000","0"
"37275000","0"
"37310000","0"
"37345000","0"
"37380000","0"
"37415000","0"
"37450000","0"
"37485000","0"
"37520000","0"
"37555000","0"
"37590000","0"
"37625000","0"
"37660000","0"
"37695000","0"
"37730000","0"
"37765000","0"
"37800000","0"
"37835000","0"
"37870000","0"
"37905000","0"
"37940000","0"
"37975000","0"
"38010000","0"
"38045000","0"
"38080000","0"
"38115000","0"
"38150000","0"
"38185000","0"
"38220000","0"
"38255000","0"
"38290000","0"
"38325000","0"
"38360000","0"
"38395000","0"
"38430000","0"
"38465000","0"
"38500000","0"
"38535000","0"
"38570000","0"
"38605000","0"
"38640000","0"
"38675000","0"
"38710000","0"
"38745000","0"
"38780000","0"
"38815000","0"
"38850000","0"
"38885000","0"
"38920000","0"
"38955000","0"
"38990000","0.0001"
"39025000","0"
"39060000","0"
"39095000","0"
"39130000","0"
"39165000","0"
"39200000","0"
"39235000","0"
"39270000","0"
"39305000","0"
"39340000","0"
"39375000","0"
"39410000","0"
"39445000","0"
"39480000","0"
"39515000","0"
"39550000","0"
"39585000","0"
"39620000","0"
"39655000","0"
"39690000","0"
"39725000","0"
"39760000","0"
"39795000","0"
"39830000","0"
"39865000","0"
"39900000","0"
"39935000","0"
"39970000","0"
