"Step","unif_pb_2agents_seed1 - 2cover_rate"
"43080000","0.30739999999999995"
"43140000","0.32239999999999996"
"43200000","0.334"
"43260000","0.291"
"43320000","0.29960000000000003"
"43380000","0.3032"
"43440000","0.298"
"43500000","0.2938"
"43560000","0.32139999999999996"
"43620000","0.30360000000000004"
"43680000","0.3078"
"43740000","0.28140000000000004"
"43800000","0.30560000000000004"
"43860000","0.293"
"43920000","0.3168"
"43980000","0.315"
"44040000","0.29979999999999996"
"44100000","0.3078"
"44160000","0.3196"
"44220000","0.31079999999999997"
"44280000","0.344"
"44340000","0.315"
"44400000","0.32"
"44460000","0.32039999999999996"
"44520000","0.3164"
"44580000","0.2994"
"44640000","0.3464"
"44700000","0.31260000000000004"
"44760000","0.343"
"44820000","0.3236"
"44880000","0.3416"
"44940000","0.3338"
"45000000","0.3218"
"45060000","0.3307999999999999"
"45120000","0.3472"
"45180000","0.34179999999999994"
"45240000","0.323"
"45300000","0.344"
"45360000","0.30939999999999995"
"45420000","0.32480000000000003"
"45480000","0.337"
"45540000","0.33979999999999994"
"45600000","0.3332"
"45660000","0.3336"
"45720000","0.3422"
"45780000","0.3494"
"45840000","0.3432"
"45900000","0.32620000000000005"
"45960000","0.335"
"46020000","0.313"
"46080000","0.33620000000000005"
"46140000","0.3482"
"46200000","0.341"
"46260000","0.3703999999999999"
"46320000","0.353"
"46380000","0.35579999999999995"
"46440000","0.35"
"46500000","0.34620000000000006"
"46560000","0.3346"
"46620000","0.33559999999999995"
"46680000","0.32780000000000004"
"46740000","0.3536"
"46800000","0.3762"
"46860000","0.35979999999999995"
"46920000","0.335"
"46980000","0.3618"
"47040000","0.354"
"47100000","0.3568"
"47160000","0.34659999999999996"
"47220000","0.3464"
"47280000","0.3496"
"47340000","0.3524"
"47400000","0.3574"
"47460000","0.358"
"47520000","0.34520000000000006"
"47580000","0.36"
"47640000","0.3612"
"47700000","0.373"
"47760000","0.3508"
"47820000","0.3596"
"47880000","0.35679999999999995"
"47940000","0.3416"
"48000000","0.35919999999999996"
"48060000","0.354"
"48120000","0.3498"
"48180000","0.3678"
"48240000","0.3706"
"48300000","0.3646"
"48360000","0.3636"
"48420000","0.3624"
"48480000","0.3416"
"48540000","0.372"
"48600000","0.3896"
"48660000","0.3622"
"48720000","0.3702"
"48780000","0.3588"
"48840000","0.3666"
"48900000","0.3616"
"48960000","0.3693999999999999"
"49020000","0.3508"
"49080000","0.3744"
"49140000","0.3772"
"49200000","0.37"
"49260000","0.35879999999999995"
"49320000","0.3932"
"49380000","0.3766000000000001"
"49440000","0.375"
"49500000","0.3924"
"49560000","0.394"
"49620000","0.368"
"49680000","0.3852"
"49740000","0.359"
"49800000","0.3713999999999999"
"49860000","0.3898"
"49920000","0.388"
"49980000","0.3836"
"50040000","0.3786000000000001"
"50100000","0.38459999999999994"
"50160000","0.3754"
"50220000","0.3728"
"50280000","0.3788"
"50340000","0.3708"
"50400000","0.3786000000000001"
"50460000","0.3878"
