"Step","reverse_parentsampling_sp_seed1 - cover_rate_1step"
"38545220","0.6045"
"38580220","0.595"
"38615220","0.583"
"38650220","0.611"
"38685220","0.6005"
"38720220","0.6065"
"38755220","0.5855"
"38790220","0.6155"
"38825220","0.618"
"38860220","0.61"
"38895220","0.6"
"38930220","0.61"
"38965220","0.612"
"39000220","0.6115"
"39035220","0.611"
"39070220","0.5945"
"39105220","0.609"
"39140220","0.595"
"39175220","0.6315"
"39210220","0.5955"
"39245220","0.591"
"39280220","0.611"
"39315220","0.6"
"39350220","0.5935"
"39385220","0.6"
"39420220","0.615"
"39455220","0.617"
"39490220","0.5835"
"39525220","0.6405"
"39560220","0.631"
"39595220","0.611"
"39630220","0.622"
"39665220","0.613"
"39700220","0.62"
"39735220","0.613"
"39770220","0.6195"
"39805220","0.613"
"39840220","0.646"
"39875220","0.615"
"39910220","0.6235"
"39945220","0.635"
