"Step","reverse_eval1_novelty_sp_seed1 - cover_rate_1step"
"39655000","0.6115"
"39690000","0.6305"
"39725000","0.6085"
"39760000","0.639"
"39795000","0.6165"
"39830000","0.623"
"39865000","0.608"
"39900000","0.633"
"39935000","0.633"
"39970000","0.619"
