"Step","diversified_pb - cover_rate_5step","diversified_pb_seed2 - cover_rate_5step","diversified_pb_seed3 - cover_rate_5step"
"65340000","0.9204","0.934","0.938"
"65520000","0.9196","0.9404","0.9336"
"65700000","0.9306","0.9424","0.9354"
"65880000","0.9382","0.9472","0.9336"
"66060000","0.9262","0.9352","0.9412"
"66240000","0.9266","0.9278","0.9392"
"66420000","0.9122","0.9434","0.9484"
"66600000","0.9334","0.9366","0.9424"
"66780000","0.9422","0.9418","0.9494"
"66960000","0.9394","0.9338","0.9456"
"67140000","0.9414","0.9508","0.9448"
"67320000","0.9182","0.9416","0.9494"
"67500000","0.9384","0.9478","0.9448"
"67680000","0.936","0.9548","0.9466"
"67860000","0.9188","0.946","0.9448"
"68040000","0.937","0.9516","0.9512"
"68220000","0.9346","0.9562","0.9412"
"68400000","0.932","0.954","0.9502"
"68580000","0.9474","0.9476","0.9378"
"68760000","0.9532","0.9594","0.954"
"68940000","0.9428","0.9556","0.952"
"69120000","0.9468","0.9578","0.9552"
"69300000","0.9308","0.9564","0.9566"
"69480000","0.9292","0.966","0.9372"
"69660000","0.938","0.9562","0.9528"
"69840000","0.93","0.9608","0.9538"
"70020000","0.9376","0.965","0.949"
"70200000","0.9372","0.9632","0.9424"
"70380000","0.9244","0.9626","0.937"
"70560000","0.9238","0.9618","0.9524"
"70740000","0.9316","0.9608","0.9484"
"70920000","0.9328","0.9466","0.9558"
"71100000","0.931","0.9604","0.946"
"71280000","0.9326","0.957","0.9488"
"71460000","0.9448","0.9664","0.9518"
"71640000","0.937","0.962","0.9476"
"71820000","0.9328","0.9538","0.953"
"72000000","0.9336","0.9476","0.9576"
"72180000","0.9342","0.9556","0.9528"
"72360000","0.9428","0.9652","0.9606"
"72540000","0.9378","0.9624","0.9652"
"72720000","0.9358","0.9438","0.9574"
"72900000","0.931","0.9504","0.9508"
"73080000","0.9268","0.9542","0.9582"
"73260000","0.9472","0.9594","0.9576"
"73440000","0.9376","0.9614","0.96"
"73620000","0.9376","0.9522","0.952"
"73800000","0.9464","0.9642","0.9626"
"73980000","0.9482","0.9672","0.9492"
"74160000","0.944","0.962","0.9624"
"74340000","0.9476","0.954","0.9526"
"74520000","0.9512","0.9672","0.9554"
"74700000","0.9332","0.9602","0.9478"
"74880000","0.944","0.9534","0.9586"
"75060000","0.9504","0.9578","0.9622"
"75240000","0.9426","0.9614","0.9508"
