"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"43617600","0.97","0.97","0.97"
"43711200","0.94","0.94","0.94"
"43804800","0.96","0.96","0.96"
"43898400","0.915","0.915","0.915"
"43992000","0.95","0.95","0.95"
"44085600","0.985","0.985","0.985"
"44179200","0.935","0.935","0.935"
"44272800","0.935","0.935","0.935"
"44366400","0.96","0.96","0.96"
"44460000","0.95","0.95","0.95"
"44553600","0.95","0.95","0.95"
"44647200","0.965","0.965","0.965"
"44740800","0.93","0.93","0.93"
"44834400","0.96","0.96","0.96"
"44928000","0.96","0.96","0.96"
"45021600","0.975","0.975","0.975"
"45115200","0.95","0.95","0.95"
"45208800","0.98","0.98","0.98"
"45302400","0.97","0.97","0.97"
"45396000","0.925","0.925","0.925"
"45489600","0.984","0.984","0.984"
"45583200","0.99","0.99","0.99"
"45676800","0.955","0.955","0.955"
"45770400","0.945","0.945","0.945"
"45864000","0.96","0.96","0.96"
"45957600","0.97","0.97","0.97"
"46051200","0.98","0.98","0.98"
"46144800","0.985","0.985","0.985"
"46238400","1","1","1"
"46332000","0.99","0.99","0.99"
"46425600","0.94","0.94","0.94"
"46519200","0.97","0.97","0.97"
"46612800","1","1","1"
"46706400","0.93","0.93","0.93"
"46800000","0.954","0.954","0.954"
"46893600","0.99","0.99","0.99"
"46987200","0.96","0.96","0.96"
"47080800","0.955","0.955","0.955"
"47174400","0.961","0.961","0.961"
"47268000","0.99","0.99","0.99"
"47361600","0.96","0.96","0.96"
"47455200","0.97","0.97","0.97"
"47548800","0.99","0.99","0.99"
"47642400","0.942","0.942","0.942"
"47736000","0.99","0.99","0.99"
"47829600","0.97","0.97","0.97"
"47923200","0.985","0.985","0.985"
"48016800","0.99","0.99","0.99"
"48110400","1","1","1"
"48204000","1","1","1"
"48297600","1","1","1"
"48391200","1","1","1"
"48484800","1","1","1"
"48578400","0.99","0.99","0.99"
"48672000","1","1","1"
"48765600","0.975","0.975","0.975"
"48859200","0.99","0.99","0.99"
