Step,main_agent_pc_first_seed7 - main_success_rate
69282000,0.5945
69336000,0.571
69390000,0.603
69444000,0.613
69498000,0.673
69552000,0.6515
69606000,0.63
69660000,0.6265
69714000,0.63
69768000,0.646
69822000,0.6605
69876000,0.686
69930000,0.6455
69984000,0.6825
70038000,0.658
70092000,0.696
70146000,0.665
70200000,0.682
70254000,0.6775
70308000,0.639
70362000,0.665
70416000,0.6765
70470000,0.6385
70524000,0.67
70578000,0.7105
70632000,0.6695
70686000,0.6985
70740000,0.6735
70794000,0.691
70848000,0.6765
70902000,0.7005
70956000,0.669
71010000,0.6705
71064000,0.705
71118000,0.6265
71172000,0.6685
71226000,0.6115
71280000,0.651
71334000,0.65
71388000,0.6865
71442000,0.6885
71496000,0.6855
71550000,0.6735
71604000,0.6835
71658000,0.6715
71712000,0.689
71766000,0.677
71820000,0.617
71874000,0.6405
71928000,0.6575
71982000,0.626
72036000,0.719
72090000,0.711
72144000,0.7295
72198000,0.728
72252000,0.7425
72306000,0.6775
72360000,0.713
72414000,0.6945
72468000,0.6295
72522000,0.6465
72576000,0.653
72630000,0.626
72684000,0.611
72738000,0.647
72792000,0.643
72846000,0.644
72900000,0.6025
72954000,0.617
73008000,0.6415
73062000,0.645
73116000,0.6475
73170000,0.673
73224000,0.6265
73278000,0.5645
73332000,0.59
73386000,0.592
73440000,0.626
73494000,0.5965
73548000,0.604
73602000,0.6805
73656000,0.689
73710000,0.651
73764000,0.6325
73818000,0.621
73872000,0.638
73926000,0.627
73980000,0.6905
74034000,0.698
74088000,0.6315
74142000,0.627
74196000,0.609
74250000,0.6095
74304000,0.6075
74358000,0.6145
74412000,0.636
74466000,0.648
74520000,0.67
74574000,0.665
74628000,0.666
74682000,0.6475
74736000,0.687
74790000,0.6695
74844000,0.6815
74898000,0.6925
74952000,0.6725
75006000,0.674
75060000,0.6995
75114000,0.6355
75168000,0.6565
75222000,0.66
75276000,0.714
75330000,0.6305
75384000,0.655
75438000,0.6355
75492000,0.67
75546000,0.6365
75600000,0.6535
75654000,0.6475
75708000,0.655
75762000,0.6535
75816000,0.651
75870000,0.6835
75924000,0.671
75978000,0.633
76032000,0.64
76086000,0.608
76140000,0.6445
76194000,0.6615
76248000,0.6245
76302000,0.587
76356000,0.6425
76410000,0.651
76464000,0.6925
76518000,0.6585
76572000,0.6355
76626000,0.613
76680000,0.5915
76734000,0.609
76788000,0.586
76842000,0.612
76896000,0.648
76950000,0.647
77004000,0.681
77058000,0.6205
77112000,0.646
77166000,0.646
77220000,0.6445
77274000,0.623
77328000,0.6105
77382000,0.6785
77436000,0.668
77490000,0.658
77544000,0.662
77598000,0.7025
77652000,0.691
77706000,0.6575
77760000,0.6435
77814000,0.591
77868000,0.5555
77922000,0.537
77976000,0.5665
78030000,0.6105
78084000,0.5975
78138000,0.5845
78192000,0.614
78246000,0.6145
78300000,0.672
78354000,0.6235
78408000,0.6605
78462000,0.6535
78516000,0.6395
78570000,0.608
78624000,0.669
78678000,0.627
78732000,0.6105
78786000,0.635
78840000,0.653
78894000,0.6095
78948000,0.6155
79002000,0.6355
79056000,0.6445
79110000,0.592
79164000,0.638
79218000,0.632
79272000,0.665
79326000,0.646
79380000,0.6265
79434000,0.6445
79488000,0.6975
79542000,0.6485
79596000,0.622
79650000,0.647
79704000,0.618
79758000,0.6265
79812000,0.657
79866000,0.6775
79920000,0.659
79974000,0.6575
80028000,0.6725
80082000,0.7005
80136000,0.662
80190000,0.672
80244000,0.706
80298000,0.6975
80352000,0.699
80406000,0.698
80460000,0.7415
80514000,0.7205
80568000,0.7395
80622000,0.716
80676000,0.6745
80730000,0.6935
80784000,0.7
80838000,0.6885
80892000,0.6925
80946000,0.6865
81000000,0.6635
81054000,0.633
81108000,0.6395
81162000,0.636
81216000,0.7025
81270000,0.6445
81324000,0.6655
81378000,0.6905
81432000,0.6875
81486000,0.6525
81540000,0.6735
81594000,0.6705
81648000,0.7155
81702000,0.6735
81756000,0.672
81810000,0.707
81864000,0.683
81918000,0.701
81972000,0.5945
82026000,0.6145
82080000,0.6055
82134000,0.5745
82188000,0.6475
82242000,0.691
82296000,0.7175
82350000,0.734
82404000,0.719
82458000,0.7005
82512000,0.7455
82566000,0.713
82620000,0.671
82674000,0.6985
82728000,0.687
82782000,0.7075
82836000,0.6835
82890000,0.6995
82944000,0.6665
82998000,0.6595
83052000,0.6805
83106000,0.734
83160000,0.697
83214000,0.727
83268000,0.662
83322000,0.743
83376000,0.7025
83430000,0.7075
83484000,0.6815
83538000,0.668
83592000,0.677
83646000,0.7
83700000,0.7025
83754000,0.6875
83808000,0.679
83862000,0.689
83916000,0.7115
83970000,0.7565
84024000,0.712
84078000,0.674
84132000,0.6935
84186000,0.668
84240000,0.663
84294000,0.667
84348000,0.6455
84402000,0.6805
84456000,0.65
84510000,0.6845
84564000,0.6875
84618000,0.721
84672000,0.6675
84726000,0.6995
84780000,0.651
84834000,0.684
84888000,0.694
84942000,0.733
84996000,0.7095
85050000,0.7365
85104000,0.7375
85158000,0.755
