"Step","diversified_sp - cover_rate_5step","diversified_sp_seed2 - cover_rate_5step","diversified_sp_seed3 - cover_rate_5step"
"27090000","0.9784","0.8615","0.9203"
"27195000","0.9795","0.8725","0.9346"
"27300000","0.9814","0.8645","0.9292"
"27405000","0.9878","0.8762","0.9293"
"27510000","0.9836","0.8705","0.9308"
"27615000","0.9803999999999998","0.8558","0.9261"
"27720000","0.9799","0.8783","0.9243"
"27825000","0.9811","0.8652","0.9394"
"27930000","0.9859","0.876","0.9345"
"28035000","0.98","0.8842","0.92"
"28140000","0.9791","0.873","0.9272"
"28245000","0.9826","0.8595999999999999","0.9219"
"28350000","0.9836","0.8800999999999999","0.9118"
"28455000","0.9862","0.8792000000000001","0.9222"
"28560000","0.9852","0.8842000000000001","0.9288"
"28665000","0.9675","0.886","0.941"
"28770000","0.9771999999999998","0.8682000000000001","0.9311"
"28875000","0.9799","0.8929000000000001","0.9519"
"28980000","0.9859","0.8883","0.937"
"29085000","0.9858","0.8853","0.9415"
"29190000","0.9802","0.8776","0.9416"
"29295000","0.9831","0.891","0.9417"
"29400000","0.9826","0.9055","0.9406"
"29505000","0.9831","0.8932","0.9422"
"29610000","0.9861","0.8915","0.948"
"29715000","0.9864","0.9046","0.9479"
"29820000","0.985","0.9032","0.9468"
"29925000","0.9896","0.904","0.9488"
"30030000","0.9854","0.8832000000000001","0.9575"
"30135000","0.9854","0.9123","0.9422"
"30240000","0.9867","0.8861","0.9461"
"30345000","0.9882","0.8817999999999999","0.9457"
"30450000","0.9887","0.8919","0.9437"
"30555000","0.982","0.8730999999999999","0.9426"
"30660000","0.9829","0.8837999999999999","0.9463"
"30765000","0.9844","0.8914000000000001","0.9442"
"30870000","0.9839","0.8861999999999999","0.9526"
"30975000","0.9837","0.9026","0.9537"
"31080000","0.9856","0.9052","0.9609"
"31185000","0.9866999999999998","0.9024","0.9459"
"31290000","0.9834","0.8787","0.9423"
"31395000","0.9796","0.8909","0.9431"
"31500000","0.9864","0.8904000000000001","0.9486"
"31605000","0.987","0.8947999999999999","0.9483"
"31710000","0.9843","0.8864","0.9425"
"31815000","0.984","0.8904000000000001","0.9534"
"31920000","0.9832","0.9055","0.9606"
"32025000","0.9887","0.9012","0.9486"
"32130000","0.9862","0.8963","0.9396"
"32235000","0.984","0.8980999999999999","0.9573"
"32340000","0.9858","0.8976","0.9354"
"32445000","0.9871","0.8917999999999999","0.9513"
"32550000","0.9875","0.8742000000000001","0.9469"
"32655000","0.9863","0.8806","0.9521"
"32760000","0.9882","0.8931999999999999","0.9544"
"32865000","0.9864","0.8907","0.9551"
"32970000","0.9794","0.8859000000000001","0.9422"
"33075000","0.9863","0.9065","0.9487"
"33180000","0.9789","0.8941","0.9525"
