"Step","solved_sp - cover_rate_5step","solved_sp_seed2 - cover_rate_5step","solved_sp_seed3 - cover_rate_5step"
"26250000","0.975","0.8728999999999999","0.8645"
"26355000","0.9701000000000002","0.8827999999999999","0.8837999999999999"
"26460000","0.9739","0.8677999999999999","0.8641"
"26565000","0.9751000000000002","0.8558999999999999","0.8570999999999999"
"26670000","0.9782","0.8845","0.8695999999999999"
"26775000","0.9782","0.8937999999999999","0.8692000000000001"
"26880000","0.9787","0.8882000000000001","0.8546"
"26985000","0.9757","0.8603999999999998","0.8511"
"27090000","0.978","0.864","0.8518"
"27195000","0.9824","0.88","0.8663"
"27300000","0.9771","0.894","0.8392999999999999"
"27405000","0.9786","0.8810999999999999","0.8574"
"27510000","0.9778","0.8752","0.8630999999999999"
"27615000","0.9787","0.8877","0.8699"
"27720000","0.9782","0.8745","0.8745"
"27825000","0.9801","0.8828","0.8738999999999999"
"27930000","0.9761","0.8843","0.865"
"28035000","0.9741","0.9022","0.8894000000000001"
"28140000","0.9781","0.8782000000000001","0.8650999999999999"
"28245000","0.9802","0.8842","0.8731"
"28350000","0.9736","0.8873000000000001","0.8726"
"28455000","0.9798","0.8912","0.861"
"28560000","0.9795","0.8855","0.8704000000000001"
"28665000","0.9805","0.891","0.8812000000000001"
"28770000","0.9779","0.8875","0.8694000000000001"
"28875000","0.9803","0.8803","0.8767"
"28980000","0.9836","0.9063","0.8773"
"29085000","0.9796","0.877","0.8837"
"29190000","0.9839","0.8759","0.8763"
"29295000","0.9784","0.8837999999999999","0.8644"
"29400000","0.981","0.8759999999999999","0.8711"
"29505000","0.9816","0.8815","0.8699"
"29610000","0.9833","0.8852000000000001","0.8793"
"29715000","0.9813","0.876","0.8657999999999999"
"29820000","0.9823","0.8767","0.8754"
"29925000","0.9766","0.8847","0.8951"
"30030000","0.984","0.8720999999999999","0.8884"
"30135000","0.9852","0.8861","0.8917"
"30240000","0.9755","0.8875","0.8738999999999999"
"30345000","0.9786","0.8715999999999999","0.8932"
"30450000","0.9776","0.8757999999999999","0.8726"
"30555000","0.9715","0.8595","0.8882000000000001"
"30660000","0.9681","0.8622000000000001","0.8825"
"30765000","0.9753","0.8728","0.8845999999999999"
"30870000","0.9721","0.8904000000000001","0.894"
"30975000","0.9766","0.8827999999999999","0.8872000000000001"
"31080000","0.9798","0.8974","0.9069"
"31185000","0.9795","0.8842000000000001","0.9015"
"31290000","0.9819","0.8987999999999999","0.8904"
"31395000","0.9715","0.8767","0.8915"
"31500000","0.9795","0.8890999999999999","0.8808999999999999"
"31605000","0.9736","0.8852000000000001","0.8832000000000001"
"31710000","0.9776","0.896","0.8887999999999999"
"31815000","0.9782","0.8854","0.8912"
"31920000","0.9794","0.8936999999999999","0.9015"
"32025000","0.9843","0.8895","0.9017"
"32130000","0.9851","0.8925","0.8952"
"32235000","0.985","0.9009","0.8987"
"32340000","0.9762","0.9017","0.8945"
"32445000","0.9842","0.9085","0.9062"
"32550000","0.9868","0.8965","0.9041"
"32655000","0.9805","0.8965","0.9002"
"32760000","0.9798","0.9003","0.8906000000000001"
"32865000","0.9783","0.9047","0.8993"
"32970000","0.9745","0.9143","0.8898"
"33075000","0.9835","0.9142","0.891"
"33180000","0.9807","0.9052","0.8966000000000001"
"33285000","0.9854","0.9136","0.9036"
"33390000","0.9833","0.9317","0.9058"
"33495000","0.9883999999999998","0.9344","0.8897"
"33600000","0.9764","0.9198","0.8994000000000001"
"33705000","0.9894","0.927","0.9021"
"33810000","0.9756","0.9444","0.8881"
"33915000","0.9786","0.93","0.8910999999999999"
"34020000","0.985","0.9199","0.8897999999999999"
"34125000","0.9809","0.9149","0.9082"
"34230000","0.9805","0.9228","0.8825"
"34335000","0.982","0.9252","0.9066"
"34440000","0.9828","0.9343","0.8991"
"34545000","0.9807","0.9327","0.8979000000000001"
"34650000","0.9841","0.9297","0.9062"
"34755000","0.9825","0.9391","0.9038"
"34860000","0.9823","0.9352","0.9083"
"34965000","0.9861","0.932","0.9131"
"35070000","0.9862","0.944","0.8871"
"35175000","0.9806","0.9413","0.9071"
"35280000","0.9852","0.9448","0.9035"
"35385000","0.9838","0.9426","0.9178999999999998"
"35490000","0.986","0.9549","0.9049"
"35595000","0.9856","0.9562","0.9146"
"35700000","0.9861","0.9555","0.9195"
"35805000","0.9838","0.9737","0.9105"
"35910000","0.9862","0.9583","0.9098"
"36015000","0.9848","0.9624","0.9152"
"36120000","0.9891","0.9651","0.9075"
"36225000","0.9856","0.957","0.8981"
"36330000","0.9867","0.9668","0.9246"
"36435000","0.9833","0.9694","0.919"
"36540000","0.9891","0.9705","0.9185"
"36645000","0.9851","0.9622","0.9175"
"36750000","0.9854","0.9629","0.9189"
"36855000","0.9858","0.9703999999999998","0.9178"
"36960000","0.9855","0.9668","0.9127"
"37065000","0.9847","0.9719","0.9351"
"37170000","0.9817","0.9689","0.9277"
"37275000","0.9815","0.9645","0.9302"
"37380000","0.9821","0.9615","0.9281"
"37485000","0.9804","0.9714","0.916"
"37590000","0.9835","0.9701000000000002","0.9187"
"37695000","0.9863","0.958","0.9084"
"37800000","0.9852","0.9638","0.9086"
"37905000","0.9819","0.966","0.9338"
"38010000","0.9783","0.9636","0.9147"
"38115000","0.9768","0.9614","0.9239"
"38220000","0.9856","0.9725","0.9232"
"38325000","0.9743","0.9714","0.929"
"38430000","0.9779","0.9669","0.9398"
"38535000","0.9853","0.9629","0.9125"
"38640000","0.9866","0.9764","0.9161"
"38745000","0.9807","0.9727","0.917"
"38850000","0.9798","0.9712","0.9291"
"38955000","0.9815","0.9736","0.9338"
"39060000","0.9864","0.9697","0.9382"
"39165000","0.9897","0.9801","0.9372"
"39270000","0.9903999999999998","0.9758","0.932"
"39375000","0.9889","0.9794","0.9177"
"39480000","0.9865","0.9729","0.9326"
"39585000","0.9846","0.9802","0.9389"
"39690000","0.9879","0.973","0.9304"
"39795000","0.9884","0.9709","0.9368"
"39900000","0.9907","0.9777","0.9282"
