"Step","sl_amigo_seed1 - cover_rate_5step"
"6748000","0.376"
"6755000","0.344"
"6762000","0.374"
"6769000","0.408"
"6776000","0.38800000000000007"
"6783000","0.43"
"6790000","0.38800000000000007"
"6797000","0.388"
"6804000","0.39"
"6811000","0.354"
"6818000","0.386"
"6825000","0.38"
"6832000","0.35"
"6839000","0.43"
"6846000","0.392"
"6853000","0.468"
"6860000","0.426"
"6867000","0.43599999999999994"
"6874000","0.34600000000000003"
"6881000","0.33"
"6888000","0.41"
"6895000","0.35"
"6902000","0.398"
"6909000","0.358"
"6916000","0.416"
"6923000","0.4"
"6930000","0.394"
"6937000","0.384"
"6944000","0.38"
"6951000","0.374"
"6958000","0.418"
"6965000","0.31"
"6972000","0.33399999999999996"
"6979000","0.35"
"6986000","0.434"
"6993000","0.366"
"7000000","0.434"
"7007000","0.396"
"7014000","0.348"
"7021000","0.418"
"7028000","0.42"
"7035000","0.418"
"7042000","0.37200000000000005"
"7049000","0.364"
"7056000","0.464"
"7063000","0.296"
"7070000","0.37"
"7077000","0.47"
"7084000","0.298"
"7091000","0.452"
"7098000","0.444"
"7105000","0.374"
"7112000","0.528"
"7119000","0.45"
"7126000","0.42"
"7133000","0.392"
"7140000","0.32799999999999996"
"7147000","0.46"
"7154000","0.322"
"7161000","0.314"
"7168000","0.396"
"7175000","0.348"
"7182000","0.364"
"7189000","0.458"
"7196000","0.384"
"7203000","0.42"
"7210000","0.412"
"7217000","0.43"
"7224000","0.264"
"7231000","0.496"
"7238000","0.376"
"7245000","0.436"
"7252000","0.44"
"7259000","0.38"
"7266000","0.386"
"7273000","0.406"
"7280000","0.38"
"7287000","0.406"
"7294000","0.41"
"7301000","0.37"
"7308000","0.366"
"7315000","0.43599999999999994"
"7322000","0.394"
"7329000","0.47"
"7336000","0.37200000000000005"
"7343000","0.368"
"7350000","0.418"
"7357000","0.38400000000000006"
"7364000","0.312"
"7371000","0.418"
"7378000","0.302"
"7385000","0.4"
"7392000","0.358"
"7399000","0.4159999999999999"
"7406000","0.426"
"7413000","0.384"
"7420000","0.42599999999999993"
"7427000","0.398"
"7434000","0.408"
"7441000","0.34600000000000003"
"7448000","0.4320000000000001"
"7455000","0.35"
"7462000","0.39"
"7469000","0.456"
"7476000","0.302"
"7483000","0.37200000000000005"
"7490000","0.434"
"7497000","0.442"
"7504000","0.256"
"7511000","0.4040000000000001"
"7518000","0.414"
"7525000","0.454"
"7532000","0.398"
"7539000","0.4059999999999999"
"7546000","0.41"
"7553000","0.34"
"7560000","0.49"
"7567000","0.37"
"7574000","0.314"
"7581000","0.3640000000000001"
"7588000","0.5159999999999999"
"7595000","0.45"
"7602000","0.31"
"7609000","0.37200000000000005"
"7616000","0.38"
"7623000","0.316"
"7630000","0.384"
"7637000","0.34"
"7644000","0.43"
"7651000","0.404"
"7658000","0.442"
"7665000","0.41"
"7672000","0.342"
"7679000","0.376"
"7686000","0.33399999999999996"
"7693000","0.364"
"7700000","0.43599999999999994"
"7707000","0.386"
"7714000","0.39"
"7721000","0.368"
"7728000","0.39"
"7735000","0.402"
"7742000","0.434"
"7749000","0.28"
"7756000","0.35200000000000004"
"7763000","0.504"
"7770000","0.392"
"7777000","0.342"
"7784000","0.362"
"7791000","0.394"
"7798000","0.468"
"7805000","0.4320000000000001"
"7812000","0.396"
"7819000","0.382"
"7826000","0.384"
"7833000","0.342"
"7840000","0.484"
"7847000","0.42"
"7854000","0.45000000000000007"
"7861000","0.364"
"7868000","0.348"
"7875000","0.366"
"7882000","0.382"
"7889000","0.348"
"7896000","0.374"
"7903000","0.37"
"7910000","0.402"
"7917000","0.37400000000000005"
"7924000","0.442"
"7931000","0.43799999999999994"
"7938000","0.34"
"7945000","0.422"
"7952000","0.42"
"7959000","0.404"
"7966000","0.38"
"7973000","0.412"
"7980000","0.406"
"7987000","0.304"
"7994000","0.342"
"8001000","0.37799999999999995"
"8008000","0.366"
"8015000","0.364"
"8022000","0.386"
"8029000","0.332"
"8036000","0.458"
"8043000","0.344"
"8050000","0.35600000000000004"
"8057000","0.39"
"8064000","0.436"
"8071000","0.37200000000000005"
"8078000","0.39"
"8085000","0.376"
"8092000","0.43"
"8099000","0.33"
