"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"13977600","0.024","0.024","0.024"
"14008800","0.017","0.017","0.017"
"14040000","0.019","0.019","0.019"
"14071200","0.016","0.016","0.016"
"14102400","0.022","0.022","0.022"
"14133600","0.011","0.011","0.011"
"14164800","0.023","0.023","0.023"
"14196000","0.026","0.026","0.026"
"14227200","0.028","0.028","0.028"
"14258400","0.011","0.011","0.011"
"14289600","0.018","0.018","0.018"
"14320800","0.017","0.017","0.017"
"14352000","0.027","0.027","0.027"
"14383200","0.007","0.007","0.007"
"14414400","0.035","0.035","0.035"
"14445600","0.014","0.014","0.014"
"14476800","0.013","0.013","0.013"
"14508000","0.01","0.01","0.01"
"14539200","0.018","0.018","0.018"
"14570400","0.019","0.019","0.019"
"14601600","0.026","0.026","0.026"
"14632800","0.02","0.02","0.02"
"14664000","0.029","0.029","0.029"
"14695200","0.014","0.014","0.014"
"14726400","0.018","0.018","0.018"
"14757600","0.03","0.03","0.03"
"14788800","0.025","0.025","0.025"
"14820000","0.024","0.024","0.024"
"14851200","0.019","0.019","0.019"
"14882400","0.021","0.021","0.021"
"14913600","0.03","0.03","0.03"
"14944800","0.014","0.014","0.014"
"14976000","0.021","0.021","0.021"
"15007200","0.022","0.022","0.022"
"15038400","0.036","0.036","0.036"
"15069600","0.031","0.031","0.031"
"15100800","0.021","0.021","0.021"
"15132000","0.024","0.024","0.024"
"15163200","0.009","0.009","0.009"
"15194400","0.022","0.022","0.022"
"15225600","0.029","0.029","0.029"
"15256800","0.034","0.034","0.034"
"15288000","0.019","0.019","0.019"
"15319200","0.022","0.022","0.022"
"15350400","0.027","0.027","0.027"
"15381600","0.012","0.012","0.012"
"15412800","0.034","0.034","0.034"
"15444000","0.031","0.031","0.031"
"15475200","0.036","0.036","0.036"
"15506400","0.023","0.023","0.023"
"15537600","0.021","0.021","0.021"
"15568800","0.026","0.026","0.026"
"15600000","0.016","0.016","0.016"
"15631200","0.028","0.028","0.028"
"15662400","0.022","0.022","0.022"
"15693600","0.022","0.022","0.022"
"15724800","0.017","0.017","0.017"
"15756000","0.02","0.02","0.02"
"15787200","0.035","0.035","0.035"
"15818400","0.031","0.031","0.031"
"15849600","0.029","0.029","0.029"
