"Step","reverse_pb_eval1_final_version_seed1 - cover_rate_1step"
"64020000","0.164"
"64080000","0.146"
"64140000","0.158"
"64200000","0.157"
"64260000","0.151"
"64320000","0.166"
"64380000","0.16"
"64440000","0.162"
"64500000","0.146"
"64560000","0.188"
"64620000","0.164"
"64680000","0.168"
"64740000","0.188"
"64800000","0.167"
"64860000","0.157"
"64920000","0.165"
"64980000","0.146"
"65040000","0.158"
"65100000","0.168"
"65160000","0.153"
"65220000","0.164"
"65280000","0.159"
"65340000","0.15"
"65400000","0.16"
"65460000","0.157"
"65520000","0.153"
"65580000","0.163"
"65640000","0.174"
"65700000","0.171"
"65760000","0.166"
"65820000","0.18"
"65880000","0.147"
"65940000","0.162"
"66000000","0.165"
"66060000","0.152"
"66120000","0.167"
"66180000","0.163"
"66240000","0.176"
"66300000","0.158"
"66360000","0.159"
"66420000","0.169"
"66480000","0.166"
"66540000","0.167"
"66600000","0.172"
"66660000","0.171"
"66720000","0.176"
"66780000","0.157"
"66840000","0.136"
"66900000","0.135"
"66960000","0.149"
"67020000","0.151"
"67080000","0.142"
"67140000","0.157"
"67200000","0.161"
"67260000","0.156"
"67320000","0.151"
"67380000","0.154"
"67440000","0.186"
"67500000","0.159"
"67560000","0.175"
"67620000","0.152"
"67680000","0.162"
"67740000","0.158"
"67800000","0.164"
"67860000","0.152"
"67920000","0.138"
"67980000","0.157"
"68040000","0.182"
"68100000","0.178"
"68160000","0.16"
"68220000","0.158"
"68280000","0.155"
"68340000","0.154"
"68400000","0.171"
"68460000","0.135"
"68520000","0.166"
"68580000","0.154"
"68640000","0.162"
"68700000","0.151"
"68760000","0.168"
"68820000","0.155"
"68880000","0.172"
"68940000","0.172"
"69000000","0.169"
"69060000","0.158"
"69120000","0.166"
"69180000","0.154"
"69240000","0.181"
"69300000","0.165"
"69360000","0.161"
"69420000","0.141"
"69480000","0.165"
"69540000","0.153"
"69600000","0.16"
"69660000","0.161"
"69720000","0.156"
"69780000","0.164"
"69840000","0.172"
"69900000","0.144"
"69960000","0.17"
"70020000","0.164"
"70080000","0.168"
"70140000","0.183"
"70200000","0.165"
"70260000","0.173"
"70320000","0.153"
"70380000","0.148"
"70440000","0.162"
"70500000","0.166"
"70560000","0.159"
"70620000","0.167"
"70680000","0.138"
"70740000","0.134"
"70800000","0.164"
"70860000","0.17"
"70920000","0.146"
"70980000","0.169"
"71040000","0.18"
"71100000","0.16"
"71160000","0.17"
"71220000","0.159"
"71280000","0.152"
"71340000","0.167"
"71400000","0.16"
"71460000","0.156"
"71520000","0.147"
"71580000","0.151"
"71640000","0.154"
"71700000","0.146"
"71760000","0.162"
"71820000","0.161"
"71880000","0.16"
"71940000","0.162"
"72000000","0.16"
"72060000","0.142"
"72120000","0.143"
"72180000","0.159"
"72240000","0.15"
"72300000","0.15"
"72360000","0.167"
"72420000","0.146"
"72480000","0.173"
"72540000","0.169"
"72600000","0.153"
"72660000","0.151"
"72720000","0.164"
"72780000","0.152"
"72840000","0.164"
"72900000","0.157"
"72960000","0.165"
"73020000","0.167"
"73080000","0.147"
"73140000","0.159"
"73200000","0.161"
"73260000","0.15"
"73320000","0.149"
"73380000","0.168"
"73440000","0.167"
"73500000","0.162"
"73560000","0.168"
"73620000","0.149"
"73680000","0.164"
"73740000","0.166"
"73800000","0.179"
"73860000","0.151"
"73920000","0.149"
"73980000","0.141"
"74040000","0.159"
"74100000","0.161"
"74160000","0.165"
"74220000","0.153"
"74280000","0.172"
"74340000","0.173"
"74400000","0.158"
"74460000","0.17"
"74520000","0.174"
"74580000","0.156"
"74640000","0.16"
"74700000","0.16"
"74760000","0.156"
"74820000","0.167"
"74880000","0.164"
"74940000","0.14"
"75000000","0.157"
"75060000","0.161"
"75120000","0.165"
"75180000","0.139"
"75240000","0.181"
"75300000","0.16"
"75360000","0.162"
"75420000","0.166"
"75480000","0.157"
"75540000","0.176"
"75600000","0.181"
"75660000","0.163"
"75720000","0.171"
"75780000","0.164"
"75840000","0.157"
"75900000","0.157"
"75960000","0.175"
"76020000","0.173"
"76080000","0.178"
"76140000","0.162"
"76200000","0.177"
"76260000","0.152"
"76320000","0.164"
"76380000","0.17"
"76440000","0.153"
"76500000","0.183"
"76560000","0.179"
"76620000","0.159"
"76680000","0.161"
"76740000","0.176"
"76800000","0.17"
"76860000","0.171"
"76920000","0.178"
"76980000","0.168"
"77040000","0.187"
"77100000","0.176"
"77160000","0.183"
"77220000","0.187"
"77280000","0.186"
"77340000","0.114"
"77400000","0.128"
"77460000","0.111"
"77520000","0.119"
"77580000","0.109"
"77640000","0.113"
"77700000","0.137"
"77760000","0.137"
"77820000","0.133"
"77880000","0.123"
"77940000","0.131"
"78000000","0.121"
"78060000","0.141"
"78120000","0.128"
"78180000","0.117"
"78240000","0.119"
"78300000","0.131"
"78360000","0.119"
"78420000","0.143"
"78480000","0.127"
"78540000","0.116"
"78600000","0.124"
"78660000","0.122"
"78720000","0.14"
"78780000","0.118"
"78840000","0.145"
"78900000","0.112"
"78960000","0.112"
"79020000","0.124"
"79080000","0.112"
"79140000","0.125"
"79200000","0.115"
"79260000","0.123"
"79320000","0.13"
"79380000","0.129"
"79440000","0.119"
"79500000","0.12"
"79560000","0.13"
"79620000","0.14"
"79680000","0.15"
"79740000","0.126"
"79800000","0.152"
"79860000","0.131"
"79920000","0.122"
"79980000","0.144"
"80040000","0.127"
"80100000","0.116"
"80160000","0.132"
"80220000","0.142"
"80280000","0.132"
"80340000","0.134"
"80400000","0.141"
"80460000","0.138"
"80520000","0.139"
"80580000","0.15"
"80640000","0.121"
"80700000","0.138"
"80760000","0.154"
"80820000","0.156"
"80880000","0.143"
"80940000","0.129"
"81000000","0.144"
"81060000","0.17"
"81120000","0.148"
"81180000","0.152"
"81240000","0.144"
"81300000","0.137"
"81360000","0.159"
"81420000","0.123"
"81480000","0.141"
"81540000","0.141"
"81600000","0.133"
"81660000","0.151"
"81720000","0.153"
"81780000","0.127"
"81840000","0.154"
"81900000","0.133"
"81960000","0.133"
"82020000","0.136"
"82080000","0.137"
"82140000","0.157"
"82200000","0.16"
"82260000","0.151"
"82320000","0.126"
"82380000","0.131"
"82440000","0.136"
"82500000","0.15"
"82560000","0.144"
"82620000","0.146"
"82680000","0.12"
"82740000","0.126"
"82800000","0.153"
"82860000","0.133"
"82920000","0.112"
"82980000","0.155"
"83040000","0.14"
"83100000","0.167"
"83160000","0.119"
"83220000","0.137"
