"Step","amigo_pb_2agents_seed3 - 2cover_rate_1step"
"55260000","0.482"
"55320000","0.501"
"55380000","0.505"
"55440000","0.49"
"55500000","0.484"
"55560000","0.497"
"55620000","0.477"
"55680000","0.499"
"55740000","0.508"
"55800000","0.507"
"55860000","0.485"
"55920000","0.493"
"55980000","0.503"
"56040000","0.492"
"56100000","0.498"
"56160000","0.495"
"56220000","0.5"
"56280000","0.487"
"56340000","0.5"
"56400000","0.499"
"56460000","0.505"
"56520000","0.496"
"56580000","0.489"
"56640000","0.495"
"56700000","0.48"
"56760000","0.491"
"56820000","0.484"
"56880000","0.487"
"56940000","0.492"
"57000000","0.487"
"57060000","0.484"
"57120000","0.491"
"57180000","0.475"
"57240000","0.49"
"57300000","0.48"
"57360000","0.479"
"57420000","0.489"
"57480000","0.505"
"57540000","0.494"
"57600000","0.487"
"57660000","0.497"
"57720000","0.483"
"57780000","0.511"
"57840000","0.48"
"57900000","0.485"
"57960000","0.488"
"58020000","0.492"
"58080000","0.493"
"58140000","0.486"
"58200000","0.506"
"58260000","0.486"
"58320000","0.491"
"58380000","0.491"
"58440000","0.501"
"58500000","0.51"
"58560000","0.512"
"58620000","0.506"
"58680000","0.506"
"58740000","0.491"
"58800000","0.495"
"58860000","0.503"
"58920000","0.499"
"58980000","0.493"
"59040000","0.49"
"59100000","0.481"
"59160000","0.491"
"59220000","0.505"
"59280000","0.486"
"59340000","0.499"
"59400000","0.497"
"59460000","0.497"
"59520000","0.505"
"59580000","0.494"
"59640000","0.5"
"59700000","0.498"
"59760000","0.503"
"59820000","0.508"
"59880000","0.485"
"59940000","0.465"
"60000000","0.463"
"60060000","0.475"
"60120000","0.472"
"60180000","0.481"
"60240000","0.491"
"60300000","0.49"
"60360000","0.471"
"60420000","0.478"
"60480000","0.487"
"60540000","0.487"
"60600000","0.489"
"60660000","0.474"
"60720000","0.487"
"60780000","0.477"
"60840000","0.477"
"60900000","0.47"
"60960000","0.491"
"61020000","0.478"
"61080000","0.496"
"61140000","0.494"
"61200000","0.497"
"61260000","0.478"
"61320000","0.497"
"61380000","0.487"
"61440000","0.481"
"61500000","0.5"
"61560000","0.492"
"61620000","0.479"
"61680000","0.476"
"61740000","0.49"
"61800000","0.494"
"61860000","0.484"
"61920000","0.489"
"61980000","0.487"
"62040000","0.474"
"62100000","0.485"
"62160000","0.492"
"62220000","0.479"
"62280000","0.479"
"62340000","0.485"
"62400000","0.477"
"62460000","0.488"
"62520000","0.491"
"62580000","0.484"
"62640000","0.489"
"62700000","0.485"
"62760000","0.484"
"62820000","0.49"
"62880000","0.485"
"62940000","0.48"
"63000000","0.481"
"63060000","0.494"
"63120000","0.483"
"63180000","0.495"
"63240000","0.506"
"63300000","0.479"
"63360000","0.482"
"63420000","0.488"
"63480000","0.482"
"63540000","0.484"
"63600000","0.501"
"63660000","0.47"
"63720000","0.478"
"63780000","0.494"
"63840000","0.477"
"63900000","0.496"
"63960000","0.484"
"64020000","0.501"
"64080000","0.492"
"64140000","0.497"
"64200000","0.494"
"64260000","0.473"
"64320000","0.5"
"64380000","0.495"
"64440000","0.486"
"64500000","0.501"
"64560000","0.499"
"64620000","0.491"
"64680000","0.5"
"64740000","0.499"
"64800000","0.495"
"64860000","0.481"
"64920000","0.488"
"64980000","0.484"
"65040000","0.48"
"65100000","0.494"
"65160000","0.482"
