"Step","diversified_novelty_sp - cover_rate_5step","diversified_novelty_sp_seed2 - cover_rate_5step","diversified_novelty_sp_seed3 - cover_rate_5step"
"22785000","0.9616","0.861","0.8722000000000001"
"22890000","0.9712","0.8627","0.8765999999999999"
"22995000","0.9629","0.8744000000000001","0.8772"
"23100000","0.9768","0.8792000000000001","0.8789000000000001"
"23205000","0.9723","0.8739000000000001","0.8733"
"23310000","0.9653","0.8776999999999999","0.8911"
"23415000","0.9641","0.8913","0.8959000000000001"
"23520000","0.9704","0.8843","0.8872000000000001"
"23625000","0.9712","0.8811","0.8746"
"23730000","0.9728","0.8805","0.8833"
"23835000","0.9707","0.8669999999999999","0.894"
"23940000","0.982","0.867","0.8902"
"24045000","0.9726","0.8737999999999999","0.8973"
"24150000","0.9744","0.8398","0.9"
"24255000","0.9742","0.8645","0.9021"
"24360000","0.9704","0.8476","0.9032"
"24465000","0.9725","0.8555","0.886"
"24570000","0.9731","0.8518000000000001","0.8860999999999999"
"24675000","0.97","0.8612000000000001","0.9081"
"24780000","0.974","0.8637","0.9011"
"24885000","0.9783","0.8784000000000001","0.9061"
"24990000","0.9735","0.8735","0.8935"
"25095000","0.9709","0.8585","0.8926999999999999"
"25200000","0.9739","0.8662000000000001","0.8874"
"25305000","0.9725","0.8772","0.8923"
"25410000","0.9742","0.8465999999999999","0.8917"
"25515000","0.9638","0.8517","0.9016"
"25620000","0.9709","0.8553999999999999","0.8902"
"25725000","0.976","0.8493999999999999","0.8894"
"25830000","0.9676","0.8659","0.9036"
"25935000","0.9748","0.8682000000000001","0.9059"
"26040000","0.9756","0.8622000000000001","0.9134"
"26145000","0.9784","0.8603999999999999","0.9101"
"26250000","0.9772","0.8505","0.9017"
"26355000","0.9817","0.8561","0.8947999999999999"
"26460000","0.979","0.855","0.9065"
"26565000","0.9802","0.8713","0.908"
"26670000","0.9783","0.8795","0.9052"
"26775000","0.984","0.874","0.9083"
"26880000","0.9779","0.8782000000000001","0.8974000000000001"
"26985000","0.9804","0.8724","0.9151"
"27090000","0.9823","0.8801","0.9095"
"27195000","0.9705","0.8897","0.9184"
"27300000","0.9766","0.8884000000000001","0.9034"
"27405000","0.9801","0.8945","0.9191"
"27510000","0.9785","0.8909000000000001","0.9228"
"27615000","0.9798","0.8745","0.9278"
"27720000","0.9816","0.8896","0.9231"
"27825000","0.9839","0.8712000000000001","0.9143"
