"Step","pc_pb_seed2 - 4cover_rate"
"47820000","0.1615"
"47880000","0.16019999999999998"
"47940000","0.1601"
"48000000","0.154"
"48060000","0.15159999999999998"
"48120000","0.1613"
"48180000","0.1731"
"48240000","0.1665"
"48300000","0.16360000000000002"
"48360000","0.1684"
"48420000","0.1581"
"48480000","0.165"
"48540000","0.1633"
"48600000","0.1728"
"48660000","0.1636"
"48720000","0.1634"
"48780000","0.16860000000000003"
"48840000","0.1729"
"48900000","0.1748"
"48960000","0.1561"
"49020000","0.1683"
"49080000","0.1662"
"49140000","0.17089999999999997"
"49200000","0.17039999999999997"
"49260000","0.1622"
"49320000","0.181"
"49380000","0.1808"
"49440000","0.1765"
"49500000","0.15159999999999998"
"49560000","0.17760000000000004"
"49620000","0.17689999999999995"
"49680000","0.16379999999999997"
"49740000","0.1849"
"49800000","0.1638"
"49860000","0.1605"
"49920000","0.1737"
"49980000","0.17260000000000003"
"50040000","0.1749"
"50100000","0.17029999999999998"
"50160000","0.1698"
"50220000","0.16509999999999997"
"50280000","0.1899"
"50340000","0.17859999999999998"
"50400000","0.1744"
"50460000","0.17810000000000004"
"50520000","0.1891"
"50580000","0.1845"
"50640000","0.1681"
"50700000","0.1784"
"50760000","0.1757"
"50820000","0.1731"
"50880000","0.1795"
"50940000","0.1832"
"51000000","0.1748"
"51060000","0.1896"
"51120000","0.177"
"51180000","0.1804"
"51240000","0.1598"
"51300000","0.1878"
"51360000","0.1802"
"51420000","0.1707"
"51480000","0.1858"
"51540000","0.1788"
"51600000","0.1845"
"51660000","0.1888"
"51720000","0.1827"
"51780000","0.17689999999999995"
"51840000","0.1887"
"51900000","0.1784"
"51960000","0.17860000000000004"
"52020000","0.1879"
"52080000","0.1945"
"52140000","0.1778"
"52200000","0.1875"
"52260000","0.1885"
"52320000","0.197"
"52380000","0.1813"
"52440000","0.1986"
"52500000","0.19080000000000005"
"52560000","0.19529999999999997"
"52620000","0.1952"
"52680000","0.19"
"52740000","0.1892"
"52800000","0.1933"
"52860000","0.1964"
"52920000","0.193"
"52980000","0.1923"
"53040000","0.19679999999999995"
"53100000","0.1902"
"53160000","0.1953"
"53220000","0.207"
"53280000","0.1959"
"53340000","0.1975"
"53400000","0.2001"
"53460000","0.1887"
"53520000","0.1945"
"53580000","0.1937"
"53640000","0.1902"
"53700000","0.1918"
"53760000","0.202"
"53820000","0.1889"
"53880000","0.2031"
"53940000","0.2037"
"54000000","0.2011"
"54060000","0.2148"
"54120000","0.1911"
"54180000","0.207"
"54240000","0.2086"
"54300000","0.2167"
"54360000","0.2176"
"54420000","0.2203"
"54480000","0.2133"
"54540000","0.2069"
"54600000","0.206"
"54660000","0.1752"
"54720000","0.1967"
"54780000","0.204"
"54840000","0.2117"
"54900000","0.1966"
"54960000","0.1919"
"55020000","0.2051"
"55080000","0.1998"
"55140000","0.1867"
"55200000","0.1966"
"55260000","0.1958"
"55320000","0.2028"
"55380000","0.2015"
"55440000","0.202"
"55500000","0.20439999999999997"
"55560000","0.2077"
"55620000","0.2102"
"55680000","0.2005"
"55740000","0.2067"
"55800000","0.2135"
"55860000","0.2019"
"55920000","0.2009"
"55980000","0.2067"
"56040000","0.2129"
"56100000","0.2042"
"56160000","0.2031"
"56220000","0.1962"
"56280000","0.202"
"56340000","0.2023"
"56400000","0.2094"
"56460000","0.1984"
"56520000","0.2114"
"56580000","0.1987"
"56640000","0.2075"
"56700000","0.1932"
"56760000","0.2043"
"56820000","0.1921"
"56880000","0.2106"
"56940000","0.1924"
"57000000","0.2139"
"57060000","0.2023"
"57120000","0.2132"
"57180000","0.208"
"57240000","0.2011"
"57300000","0.2039"
"57360000","0.2097"
"57420000","0.2029"
"57480000","0.2163"
"57540000","0.1993"
"57600000","0.2137"
"57660000","0.20689999999999997"
"57720000","0.2129"
"57780000","0.2165"
"57840000","0.2096"
"57900000","0.2036"
"57960000","0.2028"
"58020000","0.2172"
"58080000","0.2261"
"58140000","0.215"
"58200000","0.2196"
"58260000","0.2103"
"58320000","0.2211"
"58380000","0.222"
"58440000","0.2209"
"58500000","0.2244"
"58560000","0.2375"
"58620000","0.2065"
"58680000","0.2261"
"58740000","0.228"
"58800000","0.2078"
"58860000","0.2205"
"58920000","0.22359999999999997"
"58980000","0.2155"
"59040000","0.2132"
"59100000","0.2164"
"59160000","0.2087"
"59220000","0.2245"
"59280000","0.2158"
"59340000","0.2245"
"59400000","0.2217"
"59460000","0.2222"
"59520000","0.2246"
"59580000","0.227"
"59640000","0.2262"
"59700000","0.209"
"59760000","0.2195"
"59820000","0.2287"
"59880000","0.2236"
"59940000","0.2291"
"60000000","0.2187"
"60060000","0.2282"
"60120000","0.2261"
"60180000","0.2204"
"60240000","0.2382"
"60300000","0.2248"
"60360000","0.227"
"60420000","0.2138"
"60480000","0.2194"
"60540000","0.2262"
"60600000","0.2249"
"60660000","0.2191"
"60720000","0.2354"
"60780000","0.2184"
"60840000","0.2418"
"60900000","0.2257"
"60960000","0.2269"
"61020000","0.2249"
"61080000","0.2268"
"61140000","0.2197"
"61200000","0.2308"
"61260000","0.2284"
"61320000","0.23539999999999997"
"61380000","0.2413"
"61440000","0.2317"
"61500000","0.2388"
"61560000","0.2408"
"61620000","0.233"
"61680000","0.2357"
"61740000","0.232"
"61800000","0.2317"
"61860000","0.2246"
"61920000","0.2323"
"61980000","0.2303"
"62040000","0.2353"
"62100000","0.234"
"62160000","0.2457"
"62220000","0.241"
"62280000","0.2271"
"62340000","0.2483"
"62400000","0.23789999999999997"
"62460000","0.2329"
"62520000","0.23489999999999997"
"62580000","0.2442"
"62640000","0.2397"
"62700000","0.23839999999999997"
"62760000","0.2393"
"62820000","0.241"
"62880000","0.2437"
"62940000","0.2371"
"63000000","0.2487"
"63060000","0.2293"
"63120000","0.2356"
"63180000","0.2354"
"63240000","0.2393"
"63300000","0.2278"
"63360000","0.2496"
"63420000","0.2161"
"63480000","0.2392"
"63540000","0.24039999999999995"
"63600000","0.2478"
"63660000","0.2428"
"63720000","0.233"
"63780000","0.2418"
"63840000","0.2377"
"63900000","0.2403"
"63960000","0.2371"
"64020000","0.246"
"64080000","0.2265"
"64140000","0.2442"
"64200000","0.2583"
"64260000","0.2387"
"64320000","0.2371"
"64380000","0.2505"
"64440000","0.2404"
"64500000","0.246"
"64560000","0.233"
"64620000","0.2367"
"64680000","0.2436"
"64740000","0.2431"
"64800000","0.2464"
"64860000","0.25270000000000004"
"64920000","0.245"
"64980000","0.2318"
"65040000","0.2483"
"65100000","0.25"
"65160000","0.2447"
"65220000","0.25489999999999996"
"65280000","0.2428"
"65340000","0.2332"
"65400000","0.2458"
"65460000","0.2377"
"65520000","0.2507"
"65580000","0.2601"
"65640000","0.25039999999999996"
"65700000","0.2427"
"65760000","0.2493"
"65820000","0.2485"
"65880000","0.2456"
"65940000","0.2405"
"66000000","0.245"
"66060000","0.2498"
"66120000","0.2447"
"66180000","0.2459"
"66240000","0.2485"
"66300000","0.2462"
"66360000","0.2445"
"66420000","0.2479"
"66480000","0.2461"
"66540000","0.25579999999999997"
"66600000","0.2423"
"66660000","0.2454"
"66720000","0.2523"
"66780000","0.2421"
"66840000","0.2482"
"66900000","0.2529"
"66960000","0.2527"
"67020000","0.2409"
"67080000","0.2373"
"67140000","0.25529999999999997"
"67200000","0.262"
"67260000","0.2431"
"67320000","0.25570000000000004"
"67380000","0.25479999999999997"
"67440000","0.2625"
"67500000","0.2532"
"67560000","0.26280000000000003"
"67620000","0.25730000000000003"
"67680000","0.2675"
"67740000","0.24669999999999995"
"67800000","0.2554"
"67860000","0.2534"
"67920000","0.2492"
"67980000","0.26739999999999997"
"68040000","0.2586"
"68100000","0.246"
"68160000","0.2459"
"68220000","0.2505"
"68280000","0.2535"
"68340000","0.257"
"68400000","0.258"
"68460000","0.2691"
"68520000","0.2493"
"68580000","0.2649"
"68640000","0.2535"
"68700000","0.26159999999999994"
"68760000","0.2759"
"68820000","0.2507"
"68880000","0.2621"
"68940000","0.25889999999999996"
"69000000","0.266"
"69060000","0.25630000000000003"
"69120000","0.26030000000000003"
"69180000","0.27829999999999994"
"69240000","0.2596"
"69300000","0.276"
"69360000","0.2537"
"69420000","0.2797"
"69480000","0.26489999999999997"
"69540000","0.2759"
"69600000","0.26089999999999997"
"69660000","0.2705"
"69720000","0.2532"
"69780000","0.2656"
"69840000","0.26570000000000005"
"69900000","0.2705"
"69960000","0.27129999999999993"
"70020000","0.2685"
"70080000","0.25789999999999996"
"70140000","0.2689"
"70200000","0.26139999999999997"
"70260000","0.2704"
"70320000","0.26820000000000005"
"70380000","0.262"
"70440000","0.25639999999999996"
