"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"36240000","0.2325"
"36300000","0.22240000000000004"
"36360000","0.2169"
"36420000","0.2151"
"36480000","0.2138"
"36540000","0.2117"
"36600000","0.2285"
"36660000","0.2254"
"36720000","0.2134"
"36780000","0.2207"
"36840000","0.22889999999999996"
"36900000","0.22240000000000004"
"36960000","0.2405"
"37020000","0.23"
"37080000","0.2315"
"37140000","0.2145"
"37200000","0.2283"
"37260000","0.2337"
"37320000","0.2362"
"37380000","0.2352"
"37440000","0.2142"
"37500000","0.2397"
"37560000","0.231"
"37620000","0.2246"
"37680000","0.2266"
"37740000","0.2441"
"37800000","0.2307"
"37860000","0.23"
"37920000","0.2381"
"37980000","0.2194"
"38040000","0.2321"
"38100000","0.2185"
"38160000","0.2382"
"38220000","0.2313"
"38280000","0.2225"
"38340000","0.2284"
"38400000","0.2366"
"38460000","0.2359"
"38520000","0.2368"
"38580000","0.2507"
"38640000","0.2278"
"38700000","0.2398"
"38760000","0.2288"
"38820000","0.2375"
"38880000","0.2232"
"38940000","0.23500000000000004"
"39000000","0.2295"
"39060000","0.2338"
"39120000","0.2394"
"39180000","0.2331"
"39240000","0.23139999999999997"
"39300000","0.2334"
"39360000","0.23339999999999997"
"39420000","0.23360000000000003"
"39480000","0.2371"
"39540000","0.24270000000000003"
"39600000","0.2509"
"39660000","0.239"
"39720000","0.24570000000000003"
"39780000","0.2341"
"39840000","0.2436"
"39900000","0.2416"
"39960000","0.2481"
"40020000","0.2443"
"40080000","0.239"
"40140000","0.2414"
"40200000","0.2469"
"40260000","0.2442"
"40320000","0.2456"
"40380000","0.2476"
"40440000","0.2348"
"40500000","0.23810000000000003"
"40560000","0.25029999999999997"
"40620000","0.2453"
"40680000","0.2494"
"40740000","0.2471"
"40800000","0.2452"
"40860000","0.24579999999999996"
"40920000","0.2444"
"40980000","0.2493"
"41040000","0.2468"
"41100000","0.252"
"41160000","0.2441"
"41220000","0.2475"
"41280000","0.25789999999999996"
"41340000","0.23409999999999995"
"41400000","0.2527"
"41460000","0.25020000000000003"
"41520000","0.2434"
"41580000","0.2533"
"41640000","0.2406"
"41700000","0.2528"
"41760000","0.2487"
"41820000","0.25610000000000005"
"41880000","0.2435"
"41940000","0.2518"
"42000000","0.25210000000000005"
"42060000","0.2455"
"42120000","0.25889999999999996"
"42180000","0.2613"
"42240000","0.2518"
"42300000","0.2576"
"42360000","0.2422"
"42420000","0.2482"
"42480000","0.2577"
