"Step","diversified_novelty_pb - cover_rate_5step","diversified_novelty_pb_seed2 - cover_rate_5step","diversified_novelty_pb_seed3 - cover_rate_5step"
"59940000","0.9312","0.9478","0.9852"
"60120000","0.932","0.9524","0.9798"
"60300000","0.9396","0.9478","0.979"
"60480000","0.9322","0.9454","0.987"
"60660000","0.9398","0.9496","0.9886"
"60840000","0.956","0.9428","0.9868"
"61020000","0.946","0.9572","0.9792"
"61200000","0.937","0.9448","0.9852"
"61380000","0.9368","0.9448","0.9822"
"61560000","0.9412","0.9396","0.9786"
"61740000","0.9528","0.9388","0.9848"
"61920000","0.9452","0.9514","0.9846"
"62100000","0.9354","0.9558","0.9852"
"62280000","0.9532","0.9538","0.979"
"62460000","0.9454","0.946","0.976"
"62640000","0.9544","0.9534","0.9788"
"62820000","0.9312","0.9512","0.9836"
"63000000","0.9322","0.961","0.985"
"63180000","0.9574","0.9472","0.9774"
"63360000","0.9444","0.9416","0.9778"
"63540000","0.9328","0.9476","0.982"
"63720000","0.9458","0.96","0.988"
"63900000","0.9398","0.9544","0.9756"
"64080000","0.9592","0.9426","0.9822"
"64260000","0.955","0.9516","0.9858"
"64440000","0.9646","0.9628","0.979"
"64620000","0.9474","0.9598","0.9798"
"64800000","0.9566","0.9574","0.9856"
"64980000","0.961","0.94","0.992"
"65160000","0.9382","0.9544","0.9838"
"65340000","0.9496","0.9498","0.9786"
"65520000","0.935","0.96","0.9834"
"65700000","0.948","0.9586","0.9852"
"65880000","0.9544","0.9572","0.976"
"66060000","0.9502","0.9616","0.978"
"66240000","0.9526","0.964","0.9788"
"66420000","0.9458","0.9676","0.979"
"66600000","0.9548","0.9538","0.9752"
"66780000","0.9388","0.9536","0.9852"
"66960000","0.9502","0.9592","0.9778"
"67140000","0.9572","0.9498","0.9846"
"67320000","0.9552","0.9636","0.9776"
"67500000","0.9618","0.9706","0.981"
"67680000","0.957","0.9608","0.9848"
"67860000","0.9554","0.9674","0.991"
"68040000","0.964","0.959","0.98"
"68220000","0.963","0.9622","0.9846"
"68400000","0.9696","0.9592","0.989"
"68580000","0.9614","0.968","0.9814"
"68760000","0.9626","0.9646","0.98"
"68940000","0.9726","0.972","0.983"
"69120000","0.9574","0.9548","0.978"
"69300000","0.9656","0.9578","0.978"
"69480000","0.9688","0.9658","0.9822"
"69660000","0.967","0.969","0.978"
"69840000","0.967","0.9732","0.9798"
"70020000","0.9622","0.966","0.978"
"70200000","0.963","0.958","0.981"
