"Step","reverse_eval1_sp_seed1 - cover_rate_5step"
"26110000","0.4477"
"26145000","0.4424"
"26180000","0.4679"
"26215000","0.4386000000000001"
"26250000","0.4293"
"26285000","0.455"
"26320000","0.4555"
"26355000","0.4545"
"26390000","0.4731"
"26425000","0.4459"
"26460000","0.4517"
"26495000","0.4808"
"26530000","0.4895"
"26565000","0.4621"
"26600000","0.4697"
"26635000","0.4745"
"26670000","0.473"
"26705000","0.47079999999999994"
"26740000","0.467"
"26775000","0.4774"
"26810000","0.4517"
"26845000","0.4791"
"26880000","0.4599"
"26915000","0.4968"
"26950000","0.4873"
"26985000","0.4731"
"27020000","0.46179999999999993"
"27055000","0.4645"
"27090000","0.4424"
"27125000","0.4724"
"27160000","0.4726"
"27195000","0.47520000000000007"
"27230000","0.4690000000000001"
"27265000","0.4737"
"27300000","0.4776"
"27335000","0.4563"
"27370000","0.4814"
"27405000","0.4702"
"27440000","0.475"
"27475000","0.4554"
"27510000","0.476"
"27545000","0.4636"
"27580000","0.479"
"27615000","0.4614"
"27650000","0.4805"
"27685000","0.4744"
"27720000","0.4902"
"27755000","0.4737"
"27790000","0.49090000000000006"
"27825000","0.4847"
"27860000","0.4909"
"27895000","0.4921"
"27930000","0.47029999999999994"
"27965000","0.4815"
"28000000","0.4599"
"28035000","0.4941"
"28070000","0.49380000000000007"
"28105000","0.47270000000000006"
"28140000","0.4628"
"28175000","0.4784"
"28210000","0.48630000000000007"
"28245000","0.4743"
"28280000","0.4727"
"28315000","0.468"
"28350000","0.4831"
"28385000","0.4877"
"28420000","0.4661"
"28455000","0.4757"
"28490000","0.46170000000000005"
"28525000","0.4862"
"28560000","0.4699"
"28595000","0.4876"
"28630000","0.4727"
"28665000","0.468"
"28700000","0.4616"
"28735000","0.4908"
"28770000","0.4823"
"28805000","0.4905"
"28840000","0.47"
"28875000","0.4891"
"28910000","0.4744"
"28945000","0.4902"
"28980000","0.4842"
"29015000","0.4842"
"29050000","0.4966"
"29085000","0.4595"
"29120000","0.491"
"29155000","0.4774"
"29190000","0.4785"
"29225000","0.4723"
"29260000","0.4652"
"29295000","0.48280000000000006"
"29330000","0.4712"
"29365000","0.4764000000000001"
"29400000","0.4789"
"29435000","0.4724"
"29470000","0.4883"
"29505000","0.47120000000000006"
"29540000","0.4822000000000001"
"29575000","0.5017"
"29610000","0.488"
"29645000","0.4927"
"29680000","0.4897"
"29715000","0.4968000000000001"
"29750000","0.4705"
"29785000","0.4882"
"29820000","0.4745"
"29855000","0.4948999999999999"
"29890000","0.4931"
"29925000","0.4946"
"29960000","0.4953"
